group,team,flag,played,pts,gd,gf
A,Mexico,🇲🇽,2,6,3,3
A,South Korea,🇰🇷,2,3,0,2
A,Czechia,🇨🇿,2,1,-1,2
A,South Africa,🇿🇦,2,1,-2,1
B,Canada,🇨🇦,2,4,6,7
B,Switzerland,🇨🇭,2,4,3,5
B,Bosnia,🇧🇦,2,1,-3,2
B,Qatar,🇶🇦,2,1,-6,1
C,Scotland,🏴󠁧󠁢󠁳󠁣󠁴󠁿,1,3,1,1
C,Brazil,🇧🇷,1,1,0,1
C,Morocco,🇲🇦,1,1,0,1
C,Haiti,🇭🇹,1,0,-1,0
D,USA,🇺🇸,1,3,3,4
D,Australia,🇦🇺,1,3,2,2
D,Türkiye,🇹🇷,1,0,-2,0
D,Paraguay,🇵🇾,1,0,-3,1
E,Germany,🇩🇪,1,3,6,7
E,Ivory Coast,🇨🇮,1,3,1,1
E,Ecuador,🇪🇨,1,0,-1,0
E,Curaçao,🇨🇼,1,0,-6,1
F,Sweden,🇸🇪,1,3,4,5
F,Netherlands,🇳🇱,1,1,0,2
F,Japan,🇯🇵,1,1,0,2
F,Tunisia,🇹🇳,1,0,-4,1
G,Iran,🇮🇷,1,1,0,2
G,New Zealand,🇳🇿,1,1,0,2
G,Belgium,🇧🇪,1,1,0,1
G,Egypt,🇪🇬,1,1,0,1
H,Saudi Arabia,🇸🇦,1,1,0,1
H,Uruguay,🇺🇾,1,1,0,1
H,Spain,🇪🇸,1,1,0,0
H,Cape Verde,🇨🇻,1,1,0,0
I,Norway,🇳🇴,1,3,3,4
I,France,🇫🇷,1,3,2,3
I,Senegal,🇸🇳,1,0,-2,1
I,Iraq,🇮🇶,1,0,-3,1
J,Argentina,🇦🇷,1,3,3,3
J,Austria,🇦🇹,1,3,2,3
J,Jordan,🇯🇴,1,0,-2,1
J,Algeria,🇩🇿,1,0,-3,0
K,Colombia,🇨🇴,1,3,2,3
K,DR Congo,🇨🇩,1,1,0,1
K,Portugal,🇵🇹,1,1,0,1
K,Uzbekistan,🇺🇿,1,0,-2,1
L,England,🏴󠁧󠁢󠁥󠁮󠁧󠁿,1,3,2,4
L,Ghana,🇬🇭,1,3,1,1
L,Panama,🇵🇦,1,0,-1,0
L,Croatia,🇭🇷,1,0,-2,2
